source_node,destination_node,distance,types
1,2,2.23606797749979,0
1,3,3.1622776601683795,0
1,4,4.123105625617661,0
1,5,5.0990195135927845,0
1,6,6.082762530298219,0
1,7,7.0710678118654755,0
1,8,8.06225774829855,0
1,9,9.055385138137417,0
1,10,10.04987562112089,0
1,11,11.045361017187261,0
1,12,12.041594578792296,0
1,13,13.038404810405298,0
1,14,14.035668847618199,0
1,15,15.033296378372908,0
1,16,16.0312195418814,0
1,17,17.029386365926403,0
1,18,18.027756377319946,0
1,19,19.026297590440446,0
1,20,20.024984394500787,0
1,21,21.02379604162864,0
1,22,22.02271554554524,0
1,23,23.021728866442675,0
1,24,24.020824298928627,0
1,25,25.019992006393608,0
1,26,26.019223662515376,0
1,27,27.018512172212592,0
2,3,3.605551275463989,0
2,7,7.280109889280518,0
2,9,9.219544457292887,0
2,11,11.180339887498949,0
2,12,12.165525060596439,0
2,16,16.1245154965971,0
2,17,17.11724276862369,0
2,18,18.110770276274835,0
2,23,23.08679276123039,0
2,51,51.03920062069938,0
2,53,53.03772242470448,0
2,479,479.00417534714666,0
2,1079,1079.0018535665265,0
2,1132,1132.0017667830734,0
2,1237,1237.0016168138181,0
2,1645,1645.0012158050217,0
2,2053,2053.00097418389,0
2,2054,2054.000973709604,0
2,2055,2055.0009732357794,0
2,2056,2056.0009727624156,0
2,2057,2057.0009722895124,0
2,2058,2058.000971817069,0
2,2059,2059.000971345084,0
2,2060,2060.0009708735574,0
2,2061,2061.0009704024887,0
3,6,6.708203932499369,0
3,7,7.615773105863909,0
3,11,11.40175425099138,0
3,12,12.36931687685298,0
3,15,15.297058540778355,0
3,16,16.278820596099706,0
3,17,17.26267650163207,0
3,18,18.24828759089466,0
3,19,19.235384061671343,0
3,53,53.08483775994799,0
3,309,309.01456276363416,0
3,683,683.0065885480169,0
3,821,821.0054811022884,0
3,1003,1003.0044865303445,0
3,1199,1199.0037531217324,0
3,1237,1237.0036378281188,0
3,1289,1289.0034910736279,0
3,1638,1638.0027472504435,0
3,1645,1645.0027355600355,0
3,1649,1649.0027289243642,0
3,1747,1747.0025758424056,0
3,2055,2055.002189779855,0
3,2056,2056.002188714788,0
3,2059,2059.002185525795,0
3,2599,2599.0017314345905,0
3,2600,2600.001730768655,0
3,2958,2958.0015212977833,0
3,4223,4223.0010655930455,0
3,15818,15818.000284486026,1
3,17297,17297.00026016072,1
3,30605,30605.000147034796,1
3,42296,42296.00010639304,1
4,2174,2174.0036798496917,0
4,2175,2175.0036781578096,0
4,2636,2636.003034899619,0
4,2638,2638.003032598712,0
4,2888,2888.002770081774,0
4,2957,2957.00270544347,0
4,2958,2958.0027045288516,0
4,2959,2959.0027036148513,0
4,2960,2960.002702701469,0
5,22,22.561028345356956,0
5,27,27.459060435491963,0
5,469,469.02665169476245,0
5,639,639.019561515921,0
5,683,683.0183013653441,0
5,687,687.0181948100064,0
5,813,813.0153750083697,0
5,814,814.0153561205095,0
5,815,815.0153372789987,0
5,821,821.0152251937841,0
5,1095,1095.0114154656105,0
5,1528,1528.0081806063736,0
5,1636,1636.0076405689554,0
5,1640,1640.007621933508,0
5,1641,1641.0076172888412,0
5,1642,1642.0076126498318,0
5,1643,1643.0076080164692,0
5,1644,1644.0076033887435,0
5,1646,1646.0075941501607,0
5,1648,1648.0075849340014,0
5,1649,1649.0075803343052,0
5,1650,1650.0075757401844,0
5,2054,2054.00608567745,0
5,2056,2056.006079757548,0
5,2548,2548.0049058037544,0
5,2957,2957.0042272543337,0
5,4219,4219.0029627863505,0
5,4246,4246.002943946224,0
5,4503,4503.002775926304,0
5,4964,4964.002518129902,0
5,12366,12366.001010836122,1
5,12367,12367.001010754386,1
6,7,9.219544457292887,0
6,11,12.529964086141668,0
6,12,13.416407864998739,0
6,15,16.15549442140351,0
6,16,17.08800749063506,0
6,18,18.973665961010276,0
6,22,22.80350850198276,0
6,53,53.33854141237835,0
6,335,335.0537270349339,0
6,683,683.0263538107442,0
6,813,813.022139919941,0
6,1636,1636.011002407991,0
6,1638,1638.0109889741277,0
6,1639,1639.0109822694906,0
6,1640,1640.0109755730296,0
6,1644,1644.0109488686503,0
6,1645,1645.0109422128473,0
6,1646,1646.0109355651316,0
6,2055,2055.0087591054203,0
6,2056,2056.0087548451734,0
6,2059,2059.008742089261,0
6,6515,6515.002762854364,0
6,6570,6570.002739725456,0
6,7817,7817.002302673321,0
6,13320,13320.001351351282,1
6,13322,13322.001351148409,1
6,13420,13420.001341281602,1
6,13421,13421.001341181664,1
7,11,13.038404810405298,0
7,12,13.892443989449804,0
